ASN,Time,GT,CC
3,12:00-13:00,0,0
81,12:00-13:00,0,0
137,12:00-13:00,0,0
174,12:00-13:00,1,0
209,12:00-13:00,0,0
286,12:00-13:00,0,0
577,12:00-13:00,0,0
594,12:00-13:00,0,0
680,12:00-13:00,0,0
701,12:00-13:00,0,0
702,12:00-13:00,0,0
719,12:00-13:00,0,0
766,12:00-13:00,0,0
786,12:00-13:00,0,0
803,12:00-13:00,0,0
812,12:00-13:00,0,0
852,12:00-13:00,0,0
855,12:00-13:00,0,0
1221,12:00-13:00,0,0
1239,12:00-13:00,0,0
1241,12:00-13:00,0,0
1257,12:00-13:00,0,0
1267,12:00-13:00,0,0
1659,12:00-13:00,0,0
1680,12:00-13:00,0,0
1785,12:00-13:00,0,0
1916,12:00-13:00,0,0
1930,12:00-13:00,0,0
1955,12:00-13:00,0,0
2042,12:00-13:00,0,0
2108,12:00-13:00,0,0
2119,12:00-13:00,0,0
2379,12:00-13:00,0,0
2497,12:00-13:00,0,0
2510,12:00-13:00,0,0
2514,12:00-13:00,0,0
2516,12:00-13:00,0,0
2518,12:00-13:00,0,0
2519,12:00-13:00,0,0
2527,12:00-13:00,0,0
2529,12:00-13:00,0,0
2572,12:00-13:00,0,0
2607,12:00-13:00,0,0
2609,12:00-13:00,0,0
2614,12:00-13:00,0,0
2634,12:00-13:00,0,0
2706,12:00-13:00,0.5,1
2711,12:00-13:00,0,0
2764,12:00-13:00,0,0
2819,12:00-13:00,0,0
2828,12:00-13:00,0,0
2852,12:00-13:00,0,0
2854,12:00-13:00,0,0
2856,12:00-13:00,0,0
2860,12:00-13:00,0,0
2878,12:00-13:00,0,0
2905,12:00-13:00,0,0
3209,12:00-13:00,0,0
3215,12:00-13:00,0,0
3216,12:00-13:00,0,0
3225,12:00-13:00,0,0
3239,12:00-13:00,0,0
3242,12:00-13:00,0,0
3243,12:00-13:00,0,0
3249,12:00-13:00,0,0
3262,12:00-13:00,0,0
3269,12:00-13:00,0,0
3292,12:00-13:00,0,0
3301,12:00-13:00,0,0
3302,12:00-13:00,0,0
3304,12:00-13:00,0,0
3308,12:00-13:00,0,0
3320,12:00-13:00,0,0
3329,12:00-13:00,0,0
3340,12:00-13:00,0,0
3352,12:00-13:00,0,0
3356,12:00-13:00,0,0
3462,12:00-13:00,0,0
3505,12:00-13:00,0,0
3549,12:00-13:00,0,0
3737,12:00-13:00,0,0
3741,12:00-13:00,0,0
3758,12:00-13:00,0,0
3784,12:00-13:00,0,0
3786,12:00-13:00,0,0
3790,12:00-13:00,0,0
3816,12:00-13:00,0,0
3839,12:00-13:00,0,0
3909,12:00-13:00,0,0
4134,12:00-13:00,0,0
4230,12:00-13:00,0,0
4323,12:00-13:00,0,0
4515,12:00-13:00,0,0
