ASN,Time,GT,CC
3,18:00-18:40,0,0
81,18:00-18:40,0,0
137,18:00-18:40,0,0
174,18:00-18:40,0,0
209,18:00-18:40,0,0
286,18:00-18:40,0,0
577,18:00-18:40,0,0
594,18:00-18:40,0,1
680,18:00-18:40,0,0
701,18:00-18:40,0,0
702,18:00-18:40,0,0
719,18:00-18:40,0,0
786,18:00-18:40,0,0
803,18:00-18:40,0,0
812,18:00-18:40,0,0
852,18:00-18:40,0,0
855,18:00-18:40,0,0
1134,18:00-18:40,0,0
1221,18:00-18:40,0,0
1239,18:00-18:40,0,0
1241,18:00-18:40,0,0
1257,18:00-18:40,0,0
1267,18:00-18:40,0,0
1503,18:00-18:40,0,0
1659,18:00-18:40,0,0
1680,18:00-18:40,0,0
1785,18:00-18:40,0,0
1916,18:00-18:40,0,1
1930,18:00-18:40,0,0
1955,18:00-18:40,0,0
2025,18:00-18:40,0,0
2042,18:00-18:40,0,0
2108,18:00-18:40,0,0
2116,18:00-18:40,0,0
2119,18:00-18:40,0,0
2379,18:00-18:40,0,0
2386,18:00-18:40,0,0
2497,18:00-18:40,0,0
2510,18:00-18:40,0,0
2514,18:00-18:40,0,0
2516,18:00-18:40,0,0
2518,18:00-18:40,0,0
2519,18:00-18:40,0,0
2527,18:00-18:40,0,0
2529,18:00-18:40,0,0
2588,18:00-18:40,0,0
2607,18:00-18:40,0,0
2609,18:00-18:40,0,0
2614,18:00-18:40,0,0
2634,18:00-18:40,0,0
2706,18:00-18:40,0,0
2711,18:00-18:40,0,0
2715,18:00-18:40,0,0
2764,18:00-18:40,0,0
2819,18:00-18:40,0,0
2828,18:00-18:40,0,0
2854,18:00-18:40,0,0
2856,18:00-18:40,0,0
2860,18:00-18:40,0,0
2878,18:00-18:40,0,0
2905,18:00-18:40,0,0
2914,18:00-18:40,0,0
3141,18:00-18:40,0,0
3209,18:00-18:40,0,0
3215,18:00-18:40,0,0
3216,18:00-18:40,0,0
3225,18:00-18:40,0,0
3239,18:00-18:40,0,0
3243,18:00-18:40,0,0
3249,18:00-18:40,0,0
3265,18:00-18:40,0,0
3269,18:00-18:40,0,0
3292,18:00-18:40,0,0
3301,18:00-18:40,0,0
3302,18:00-18:40,0,0
3308,18:00-18:40,0,0
3313,18:00-18:40,0,0
3320,18:00-18:40,0,0
3329,18:00-18:40,0,0
3340,18:00-18:40,0,0
3352,18:00-18:40,1,0
3356,18:00-18:40,0,0
3462,18:00-18:40,0,0
3549,18:00-18:40,0,0
3561,18:00-18:40,0,0
3737,18:00-18:40,0,0
3741,18:00-18:40,0,0
3758,18:00-18:40,0,0
3786,18:00-18:40,0,0
3790,18:00-18:40,0.5,0
3816,18:00-18:40,0,0
3839,18:00-18:40,0,0
3909,18:00-18:40,0,0
4134,18:00-18:40,0,0
4230,18:00-18:40,0,0
4323,18:00-18:40,0,0
4515,18:00-18:40,0,0
4538,18:00-18:40,0,0
4565,18:00-18:40,0,0
4589,18:00-18:40,0,0
4609,18:00-18:40,0,0
4657,18:00-18:40,0,0
4662,18:00-18:40,0,0
4685,18:00-18:40,0,0
4713,18:00-18:40,0,0
4725,18:00-18:40,0,0
4732,18:00-18:40,0,0
4739,18:00-18:40,0,0
4747,18:00-18:40,0,0
4750,18:00-18:40,0,0
4755,18:00-18:40,0,0
4760,18:00-18:40,0,0
4761,18:00-18:40,0,0
4765,18:00-18:40,0,0
4766,18:00-18:40,0,0
4768,18:00-18:40,0,0
4771,18:00-18:40,0,0
4775,18:00-18:40,0,0
4780,18:00-18:40,0,0
4787,18:00-18:40,0,0
4788,18:00-18:40,0,0
4795,18:00-18:40,0,0
4802,18:00-18:40,0,0
4804,18:00-18:40,0,0
4808,18:00-18:40,0,0
4809,18:00-18:40,0,0
4812,18:00-18:40,0,0
4837,18:00-18:40,0,0
4847,18:00-18:40,0,0
4854,18:00-18:40,0,0
5056,18:00-18:40,0,0
5079,18:00-18:40,0,0
5089,18:00-18:40,0,0
5384,18:00-18:40,0,0
5388,18:00-18:40,0,0
5391,18:00-18:40,0,0
5396,18:00-18:40,0,0
5400,18:00-18:40,0,0
5410,18:00-18:40,0,0
5416,18:00-18:40,0,0
5430,18:00-18:40,0,0
5432,18:00-18:40,0,0
5462,18:00-18:40,0,0
5466,18:00-18:40,0,0
5483,18:00-18:40,0,0
5486,18:00-18:40,0,0
5515,18:00-18:40,0,0
5523,18:00-18:40,0,0
5603,18:00-18:40,0,0
5610,18:00-18:40,1,0
5617,18:00-18:40,0,0
5639,18:00-18:40,0,0
5645,18:00-18:40,0,0
5650,18:00-18:40,0,0
5668,18:00-18:40,0,0
5713,18:00-18:40,0,0
5769,18:00-18:40,0,0
5778,18:00-18:40,0,0
6057,18:00-18:40,0,0
6079,18:00-18:40,0,0
6128,18:00-18:40,0,0
6147,18:00-18:40,0,0
6167,18:00-18:40,0,0
6181,18:00-18:40,0,0
6197,18:00-18:40,0,0
6198,18:00-18:40,0,0
6306,18:00-18:40,0,0
6325,18:00-18:40,0,0
6327,18:00-18:40,0,0
6332,18:00-18:40,0,0
6389,18:00-18:40,0,0
6400,18:00-18:40,0,0
6407,18:00-18:40,0,0
6412,18:00-18:40,0,0
6429,18:00-18:40,0,0
6458,18:00-18:40,0,0
6461,18:00-18:40,0,0
6471,18:00-18:40,0,0
6478,18:00-18:40,0,0
6503,18:00-18:40,0,0
6505,18:00-18:40,0,0
6535,18:00-18:40,0,0
6539,18:00-18:40,0,0
6568,18:00-18:40,0,0
6619,18:00-18:40,0,0
6621,18:00-18:40,0,0
6648,18:00-18:40,0,0
6678,18:00-18:40,0,0
6690,18:00-18:40,0,0
6697,18:00-18:40,0,0
