ASN,Time,GT,CC
3,16:20-17:20,0,0
71,16:20-17:20,0,0
137,16:20-17:20,0,0
174,16:20-17:20,0,0
209,16:20-17:20,0,0
286,16:20-17:20,0,0
577,16:20-17:20,0,0
680,16:20-17:20,0,0
684,16:20-17:20,0,0
701,16:20-17:20,0,0
719,16:20-17:20,0,0
812,16:20-17:20,0,0
852,16:20-17:20,0,0
855,16:20-17:20,0,0
1221,16:20-17:20,0,0
1239,16:20-17:20,0,0
1241,16:20-17:20,0,0
1257,16:20-17:20,0,0
1267,16:20-17:20,0,0
1659,16:20-17:20,0,0
1680,16:20-17:20,0.5,0
1785,16:20-17:20,0,0
1916,16:20-17:20,0,0
2108,16:20-17:20,0,0
2116,16:20-17:20,0,0
2119,16:20-17:20,0,0
2379,16:20-17:20,0,0
2497,16:20-17:20,0,0
2510,16:20-17:20,0,0
2518,16:20-17:20,0,0
2527,16:20-17:20,0,0
2634,16:20-17:20,0,0
2711,16:20-17:20,0,0
2715,16:20-17:20,0,0
2828,16:20-17:20,0,0
2856,16:20-17:20,0,0
2860,16:20-17:20,0,0
2878,16:20-17:20,0,0
3209,16:20-17:20,0,0
3215,16:20-17:20,0,0
3216,16:20-17:20,0,0
3239,16:20-17:20,0,0
3242,16:20-17:20,0,0
3243,16:20-17:20,0,0
3249,16:20-17:20,0,0
3269,16:20-17:20,0,0
3292,16:20-17:20,0,0
3301,16:20-17:20,0,0
3320,16:20-17:20,0,0
3340,16:20-17:20,0,0
3352,16:20-17:20,0,0
3356,16:20-17:20,0,0
3462,16:20-17:20,0,0
3549,16:20-17:20,0,0
3680,16:20-17:20,0,0
3709,16:20-17:20,0,0
3737,16:20-17:20,0,0
3741,16:20-17:20,0,0
3786,16:20-17:20,0,0
3790,16:20-17:20,0,0
3816,16:20-17:20,0,0
3839,16:20-17:20,0,0
3909,16:20-17:20,1,0
4134,16:20-17:20,0,0
4230,16:20-17:20,0,0
4323,16:20-17:20,0,0
4538,16:20-17:20,0.5,1
4565,16:20-17:20,0,0
4589,16:20-17:20,0,0
4657,16:20-17:20,0,0
4713,16:20-17:20,0,0
4725,16:20-17:20,0,0
4732,16:20-17:20,0,0
4739,16:20-17:20,0,0
4747,16:20-17:20,0,0
4750,16:20-17:20,0,0
4755,16:20-17:20,0,0
4760,16:20-17:20,0,0
4765,16:20-17:20,0,0
4766,16:20-17:20,0,0
4768,16:20-17:20,0,0
4771,16:20-17:20,0,0
4780,16:20-17:20,0,0
4788,16:20-17:20,0,0
4795,16:20-17:20,0,0
4802,16:20-17:20,0,0
4804,16:20-17:20,0,0
4808,16:20-17:20,0,0
4812,16:20-17:20,0,0
4837,16:20-17:20,0,0
4847,16:20-17:20,0,0
5056,16:20-17:20,0,0
5079,16:20-17:20,0,0
5089,16:20-17:20,0,0
5384,16:20-17:20,0,0
5390,16:20-17:20,0,0
5391,16:20-17:20,0,0
5400,16:20-17:20,0,0
5410,16:20-17:20,0,0
5430,16:20-17:20,0,0
5432,16:20-17:20,0,0
5462,16:20-17:20,0,0
5483,16:20-17:20,0,0
5515,16:20-17:20,0,0
5523,16:20-17:20,0,0
5610,16:20-17:20,0,0
5615,16:20-17:20,0,0
5617,16:20-17:20,0,0
5639,16:20-17:20,0,0
5645,16:20-17:20,0,0
5713,16:20-17:20,0,0
5769,16:20-17:20,0,0
6057,16:20-17:20,0,0
6079,16:20-17:20,0,0
6128,16:20-17:20,0,0
6147,16:20-17:20,0,0
6197,16:20-17:20,0,0
6298,16:20-17:20,0,0
6327,16:20-17:20,0,0
6332,16:20-17:20,0,0
6389,16:20-17:20,0,0
6400,16:20-17:20,0,0
6407,16:20-17:20,0,0
6429,16:20-17:20,0,0
6453,16:20-17:20,0,0
6458,16:20-17:20,0,0
6461,16:20-17:20,0,0
6471,16:20-17:20,0,0
6478,16:20-17:20,0,0
6503,16:20-17:20,0,0
6535,16:20-17:20,0.5,0
6568,16:20-17:20,0,0
6619,16:20-17:20,0,0
6648,16:20-17:20,0,0
6678,16:20-17:20,0,0
6697,16:20-17:20,1,0
6703,16:20-17:20,0,0
6713,16:20-17:20,0,0
6714,16:20-17:20,0,0
6739,16:20-17:20,0,0
6746,16:20-17:20,0,0
6799,16:20-17:20,0,0
6805,16:20-17:20,0,0
6821,16:20-17:20,0,0
6828,16:20-17:20,0,0
6830,16:20-17:20,0,0
6848,16:20-17:20,0,0
6849,16:20-17:20,0,0
6855,16:20-17:20,0,0
7011,16:20-17:20,0,0
7015,16:20-17:20,0,0
7018,16:20-17:20,0,0
7029,16:20-17:20,0,0
7132,16:20-17:20,0,0
7303,16:20-17:20,0,0
7385,16:20-17:20,0,0
7418,16:20-17:20,0,0
7470,16:20-17:20,0,0
7482,16:20-17:20,1,0
7491,16:20-17:20,0,0
7497,16:20-17:20,0,0
7522,16:20-17:20,0,0
7545,16:20-17:20,0,0
7552,16:20-17:20,0,0
7557,16:20-17:20,0,0
7629,16:20-17:20,0,0
7657,16:20-17:20,1,0
7725,16:20-17:20,0,0
7738,16:20-17:20,0,0
7757,16:20-17:20,0,0
7843,16:20-17:20,0,0
7992,16:20-17:20,0,0
8047,16:20-17:20,0,0
8048,16:20-17:20,0,0
8151,16:20-17:20,0,0
8167,16:20-17:20,0,0
8220,16:20-17:20,0,0
8228,16:20-17:20,0,0
8342,16:20-17:20,0,0
8359,16:20-17:20,0,0
8369,16:20-17:20,0,0
8374,16:20-17:20,0,0
8376,16:20-17:20,0,0
8400,16:20-17:20,0,0
8402,16:20-17:20,0,0
8404,16:20-17:20,0,0
8422,16:20-17:20,0,0
8447,16:20-17:20,0,0
8452,16:20-17:20,0,0
8473,16:20-17:20,0,0
8514,16:20-17:20,0,0
8546,16:20-17:20,0,0
8551,16:20-17:20,0,0
8584,16:20-17:20,0,0
8612,16:20-17:20,0,0
8615,16:20-17:20,0,0
8675,16:20-17:20,0,0
8696,16:20-17:20,0,0
8708,16:20-17:20,0,0
8717,16:20-17:20,0,0
8732,16:20-17:20,0,0
8737,16:20-17:20,0,0
8764,16:20-17:20,0,0
8767,16:20-17:20,0,0
8866,16:20-17:20,0,0
8881,16:20-17:20,0,0
8926,16:20-17:20,0,0
8928,16:20-17:20,0,0
8968,16:20-17:20,0,0
8970,16:20-17:20,0,0
8997,16:20-17:20,0,0
9050,16:20-17:20,0,0
9070,16:20-17:20,0,0
9105,16:20-17:20,0,0
9116,16:20-17:20,0,0
9121,16:20-17:20,0,0
9132,16:20-17:20,0,0
9141,16:20-17:20,0,0
9143,16:20-17:20,0,0
9145,16:20-17:20,0,0
9146,16:20-17:20,0,0
9198,16:20-17:20,0,0
9299,16:20-17:20,0,0
9304,16:20-17:20,1,0
9318,16:20-17:20,0,0
9394,16:20-17:20,0,0
9416,16:20-17:20,0,0
9498,16:20-17:20,0,0
9506,16:20-17:20,0,0
9534,16:20-17:20,0,0
9583,16:20-17:20,0,0
9595,16:20-17:20,0,0
9644,16:20-17:20,0,0
9674,16:20-17:20,0,0
9701,16:20-17:20,0,0
9737,16:20-17:20,0,0
9756,16:20-17:20,0,0
9800,16:20-17:20,0,0
9808,16:20-17:20,0,0
9812,16:20-17:20,0,0
9829,16:20-17:20,0,0
9848,16:20-17:20,0,0
9889,16:20-17:20,0,0
9916,16:20-17:20,0,0
9919,16:20-17:20,0,0
9924,16:20-17:20,0,0
9929,16:20-17:20,0,0
9930,16:20-17:20,0,0
9931,16:20-17:20,0,0
