ASN,Time,GT,CC
81,14:00-15:00,0,0
127,14:00-15:00,0,0
137,14:00-15:00,0,0
174,14:00-15:00,0,0
209,14:00-15:00,0,0
286,14:00-15:00,0,0
577,14:00-15:00,0,0
594,14:00-15:00,1,0
668,14:00-15:00,0,0
680,14:00-15:00,0,0
701,14:00-15:00,0,0
702,14:00-15:00,0,0
719,14:00-15:00,0,0
786,14:00-15:00,0,0
803,14:00-15:00,0,0
812,14:00-15:00,0,0
852,14:00-15:00,0,0
855,14:00-15:00,0,0
1221,14:00-15:00,0,0
1239,14:00-15:00,0,0
1241,14:00-15:00,0,0
1257,14:00-15:00,0,0
1267,14:00-15:00,0,0
1659,14:00-15:00,0,0
1680,14:00-15:00,0,0
1759,14:00-15:00,0,0
1785,14:00-15:00,0,0
1916,14:00-15:00,0,0
2108,14:00-15:00,0,0
2116,14:00-15:00,0,0
2119,14:00-15:00,0,0
2379,14:00-15:00,0,0
2386,14:00-15:00,0,0
2497,14:00-15:00,0,0
2510,14:00-15:00,0,0
2514,14:00-15:00,0,0
2516,14:00-15:00,0,0
2518,14:00-15:00,0,0
2519,14:00-15:00,0,0
2527,14:00-15:00,0,0
2529,14:00-15:00,0,0
2572,14:00-15:00,0,0
2607,14:00-15:00,0,0
2609,14:00-15:00,0,0
2614,14:00-15:00,0,0
2634,14:00-15:00,1,0
2706,14:00-15:00,0,0
2715,14:00-15:00,0,0
2764,14:00-15:00,0,0
2819,14:00-15:00,0,0
2828,14:00-15:00,0,0
2856,14:00-15:00,0,0
2860,14:00-15:00,0,0
2878,14:00-15:00,0,0
2907,14:00-15:00,0,0
3209,14:00-15:00,0,0
3215,14:00-15:00,0,0
3216,14:00-15:00,0,0
3239,14:00-15:00,0,0
3243,14:00-15:00,0,0
3249,14:00-15:00,0,0
3253,14:00-15:00,0,0
3269,14:00-15:00,0,0
3292,14:00-15:00,0,0
3301,14:00-15:00,0,0
3302,14:00-15:00,0,0
3303,14:00-15:00,0,0
3320,14:00-15:00,0,0
3329,14:00-15:00,1,0
3340,14:00-15:00,0,0
3352,14:00-15:00,0,0
3356,14:00-15:00,1,0
3454,14:00-15:00,0,0
3462,14:00-15:00,1,0
3549,14:00-15:00,0,0
3737,14:00-15:00,0,0
3741,14:00-15:00,0,0
3758,14:00-15:00,0,0
3786,14:00-15:00,0,0
3790,14:00-15:00,0,0
3816,14:00-15:00,0,0
