ASN,Time,GT,CC
81,8:30-9:30,0,0
137,8:30-9:30,0,0
174,8:30-9:30,0,0
209,8:30-9:30,0,0
210,8:30-9:30,0,0
237,8:30-9:30,0,0
286,8:30-9:30,0,0
577,8:30-9:30,0,0
594,8:30-9:30,0,0
680,8:30-9:30,0,0
701,8:30-9:30,0,0
702,8:30-9:30,0,0
719,8:30-9:30,0,0
786,8:30-9:30,0,0
790,8:30-9:30,0,0
803,8:30-9:30,0,0
812,8:30-9:30,0,0
852,8:30-9:30,0,0
855,8:30-9:30,0,0
1134,8:30-9:30,0,0
1221,8:30-9:30,0,0
1239,8:30-9:30,0,0
1241,8:30-9:30,0,0
1257,8:30-9:30,0,0
1267,8:30-9:30,0,0
1659,8:30-9:30,0,0
1680,8:30-9:30,0,0
1759,8:30-9:30,0,0
1785,8:30-9:30,0,0
1916,8:30-9:30,0,0
2042,8:30-9:30,0,0
2108,8:30-9:30,0,0
2116,8:30-9:30,0,0
2119,8:30-9:30,0,0
2379,8:30-9:30,0,0
2386,8:30-9:30,0,0
2497,8:30-9:30,0,0
2510,8:30-9:30,0,0
2514,8:30-9:30,0,0
2516,8:30-9:30,0,0
2518,8:30-9:30,0,0
2519,8:30-9:30,0,0
2527,8:30-9:30,0,0
2529,8:30-9:30,0,0
2588,8:30-9:30,0,0
2607,8:30-9:30,0,0
2609,8:30-9:30,0,0
2614,8:30-9:30,0,0
2634,8:30-9:30,1,0
2706,8:30-9:30,0,0
2711,8:30-9:30,0,0
2715,8:30-9:30,0,0
2764,8:30-9:30,0,0
2819,8:30-9:30,0,0
2828,8:30-9:30,1,0
2854,8:30-9:30,0,0
2856,8:30-9:30,1,0
2860,8:30-9:30,0,0
2878,8:30-9:30,0,0
3209,8:30-9:30,0,0
3215,8:30-9:30,0,0
3216,8:30-9:30,0,0
3239,8:30-9:30,0,0
3243,8:30-9:30,1,0
3249,8:30-9:30,0,0
3253,8:30-9:30,0,0
3265,8:30-9:30,0,0
3269,8:30-9:30,0,0
3292,8:30-9:30,0,0
3301,8:30-9:30,0,0
3302,8:30-9:30,0,0
3304,8:30-9:30,0,0
3307,8:30-9:30,0,0
3308,8:30-9:30,0,0
3320,8:30-9:30,0,0
3329,8:30-9:30,0,0
3340,8:30-9:30,0,0
3352,8:30-9:30,0,0
3356,8:30-9:30,0,0
3462,8:30-9:30,0,0
3549,8:30-9:30,0,0
3737,8:30-9:30,0,0
3741,8:30-9:30,0,0
3758,8:30-9:30,0,0
3786,8:30-9:30,0,0
3790,8:30-9:30,0,0
3816,8:30-9:30,0,0
3839,8:30-9:30,0,0
4134,8:30-9:30,0,0
4181,8:30-9:30,0,0
4230,8:30-9:30,0,0
4323,8:30-9:30,0,0
4515,8:30-9:30,0,0
4538,8:30-9:30,0,0
4565,8:30-9:30,0,0
4589,8:30-9:30,1,0
4609,8:30-9:30,0,0
4628,8:30-9:30,0,0
4657,8:30-9:30,0,0
4685,8:30-9:30,0,0
4713,8:30-9:30,0,0
4725,8:30-9:30,0,0
4732,8:30-9:30,0,0
4739,8:30-9:30,0,0
4750,8:30-9:30,0,0
4755,8:30-9:30,0,0
4760,8:30-9:30,0,0
4761,8:30-9:30,0,0
4766,8:30-9:30,0,0
4768,8:30-9:30,0,0
4771,8:30-9:30,0,0
4775,8:30-9:30,0,0
4780,8:30-9:30,0,0
4788,8:30-9:30,0,0
4795,8:30-9:30,0,0
4800,8:30-9:30,0,0
4802,8:30-9:30,0,0
4804,8:30-9:30,0,0
4808,8:30-9:30,0,0
4812,8:30-9:30,0,0
4837,8:30-9:30,0,0
4847,8:30-9:30,0,0
4854,8:30-9:30,0,0
5056,8:30-9:30,0,0
5089,8:30-9:30,0,0
5384,8:30-9:30,0,0
5390,8:30-9:30,0,0
5391,8:30-9:30,0,0
5396,8:30-9:30,0,0
5400,8:30-9:30,0,0
5408,8:30-9:30,0,0
5410,8:30-9:30,0,0
5416,8:30-9:30,0,0
5430,8:30-9:30,0,0
5432,8:30-9:30,0,0
5466,8:30-9:30,0,0
5483,8:30-9:30,0,0
5486,8:30-9:30,0,0
5515,8:30-9:30,0,0
5518,8:30-9:30,0,0
5523,8:30-9:30,0,0
5578,8:30-9:30,0,0
5603,8:30-9:30,0,0
5607,8:30-9:30,1,0
5610,8:30-9:30,0,0
5615,8:30-9:30,0,0
5617,8:30-9:30,0,0
5639,8:30-9:30,0,0
5645,8:30-9:30,0,0
5650,8:30-9:30,0,0
5668,8:30-9:30,0,0
5713,8:30-9:30,0,0
5769,8:30-9:30,0,0
5778,8:30-9:30,1,0
6057,8:30-9:30,0,0
6079,8:30-9:30,0,0
6128,8:30-9:30,0,0
6147,8:30-9:30,0,0
6181,8:30-9:30,0.5,0
6197,8:30-9:30,0,0
6198,8:30-9:30,0,0
6222,8:30-9:30,0,0
6306,8:30-9:30,0,0
6327,8:30-9:30,0,0
6332,8:30-9:30,0,0
6389,8:30-9:30,0,0
6400,8:30-9:30,0,0
6407,8:30-9:30,0,0
6412,8:30-9:30,0,0
6429,8:30-9:30,0,0
6458,8:30-9:30,0,0
6471,8:30-9:30,0,0
6478,8:30-9:30,0,0
6503,8:30-9:30,0,0
6535,8:30-9:30,0,0
6539,8:30-9:30,0,0
6568,8:30-9:30,0,0
6619,8:30-9:30,0,0
6621,8:30-9:30,0,0
6648,8:30-9:30,0,0
6677,8:30-9:30,0,0
6690,8:30-9:30,0,0
6697,8:30-9:30,0,0
6700,8:30-9:30,0,0
6703,8:30-9:30,0,0
6713,8:30-9:30,0,0
6714,8:30-9:30,0,0
6739,8:30-9:30,0,0
6746,8:30-9:30,0,0
6767,8:30-9:30,0,0
6785,8:30-9:30,0,0
6799,8:30-9:30,0,0
6805,8:30-9:30,0,0
6821,8:30-9:30,0,0
6828,8:30-9:30,0,0
6830,8:30-9:30,0,0
6848,8:30-9:30,0,0
6849,8:30-9:30,0,0
6855,8:30-9:30,0,0
6866,8:30-9:30,0,0
6871,8:30-9:30,0,0
6877,8:30-9:30,0,0
6910,8:30-9:30,0,0
6939,8:30-9:30,0,0
6983,8:30-9:30,1,0
7011,8:30-9:30,0,0
7015,8:30-9:30,0,0
7016,8:30-9:30,0,0
7017,8:30-9:30,0,0
7018,8:30-9:30,1,1
7029,8:30-9:30,1,0
7132,8:30-9:30,0,0
7303,8:30-9:30,0,0
7385,8:30-9:30,0,0
7418,8:30-9:30,0,0
7459,8:30-9:30,0,0
7470,8:30-9:30,0,0
7482,8:30-9:30,0,0
7497,8:30-9:30,0,0
7522,8:30-9:30,0,0
7545,8:30-9:30,0,0
7552,8:30-9:30,0,0
7565,8:30-9:30,0,0
7629,8:30-9:30,0,0
7657,8:30-9:30,0,0
7725,8:30-9:30,0,0
7738,8:30-9:30,0,0
7757,8:30-9:30,0,0
7782,8:30-9:30,0,0
7794,8:30-9:30,0,0
7795,8:30-9:30,0,0
7843,8:30-9:30,0,0
7922,8:30-9:30,0,0
7992,8:30-9:30,0,0
8047,8:30-9:30,0,0
8048,8:30-9:30,0,0
8075,8:30-9:30,0,0
8151,8:30-9:30,0,0
8163,8:30-9:30,0,0
8167,8:30-9:30,0,0
8220,8:30-9:30,0,0
8228,8:30-9:30,0,0
8342,8:30-9:30,0,0
8346,8:30-9:30,0,0
8359,8:30-9:30,0,0
8369,8:30-9:30,0,0
8374,8:30-9:30,0,0
8376,8:30-9:30,0,0
8386,8:30-9:30,0,0
8400,8:30-9:30,0,0
8402,8:30-9:30,0,0
8404,8:30-9:30,0,0
8422,8:30-9:30,0,0
8426,8:30-9:30,0,0
8447,8:30-9:30,0,0
8448,8:30-9:30,0,0
8452,8:30-9:30,0,0
8473,8:30-9:30,0,0
8514,8:30-9:30,0,0
8551,8:30-9:30,0,0
8570,8:30-9:30,0,0
8585,8:30-9:30,0,0
8591,8:30-9:30,0,0
8612,8:30-9:30,0,0
8615,8:30-9:30,0,0
8675,8:30-9:30,0,0
8708,8:30-9:30,0,0
8717,8:30-9:30,0,0
8728,8:30-9:30,0,0
8732,8:30-9:30,0,0
8737,8:30-9:30,0,0
8764,8:30-9:30,0,0
8767,8:30-9:30,0,0
8771,8:30-9:30,0,0
8866,8:30-9:30,0,0
8877,8:30-9:30,0,0
8881,8:30-9:30,0,0
8895,8:30-9:30,0,0
8926,8:30-9:30,0,0
8928,8:30-9:30,0,0
8953,8:30-9:30,0,0
8968,8:30-9:30,0,0
8997,8:30-9:30,0,0
9050,8:30-9:30,1,0
9070,8:30-9:30,0,0
9105,8:30-9:30,0,0
9116,8:30-9:30,0,0
9117,8:30-9:30,0,0
9121,8:30-9:30,0,0
9143,8:30-9:30,0,0
9145,8:30-9:30,0,0
9146,8:30-9:30,0,0
9155,8:30-9:30,0,0
9198,8:30-9:30,0,0
9260,8:30-9:30,0,0
9269,8:30-9:30,0,0
9286,8:30-9:30,0,0
9299,8:30-9:30,0,0
9304,8:30-9:30,0,0
9316,8:30-9:30,0,0
9318,8:30-9:30,0,0
9319,8:30-9:30,0,0
9329,8:30-9:30,0,0
9365,8:30-9:30,0,0
9381,8:30-9:30,0,0
9394,8:30-9:30,0,0
9416,8:30-9:30,0,0
9443,8:30-9:30,0,0
9457,8:30-9:30,0,0
9497,8:30-9:30,0,0
9498,8:30-9:30,1,0
9506,8:30-9:30,0,0
9534,8:30-9:30,0,0
9556,8:30-9:30,0,0
9584,8:30-9:30,0,0
9595,8:30-9:30,0,0
9644,8:30-9:30,0,0
9674,8:30-9:30,0,0
9689,8:30-9:30,0,0
9737,8:30-9:30,0,0
9756,8:30-9:30,0,0
9790,8:30-9:30,0,0
9803,8:30-9:30,0,0
9808,8:30-9:30,0.5,1
9812,8:30-9:30,0.5,1
9814,8:30-9:30,0,0
